Latitude,Longitude,Altitude,Date,Time
64.12416,-21.925663333333333,35.8M,2020-10-02UTC,09:50:15.528231971
64.12416,-21.925663333333333,35.8M,2020-10-02UTC,09:50:16.030945114
64.12416166666667,-21.925663333333333,35.9M,2020-10-02UTC,09:50:16.535055261
64.12416166666667,-21.925663333333333,35.9M,2020-10-02UTC,09:50:17.037625405
64.12416166666667,-21.925665,36.0M,2020-10-02UTC,09:50:17.541670553
64.12416166666667,-21.925665,36.0M,2020-10-02UTC,09:50:18.044326698
64.12416,-21.925663333333333,35.9M,2020-10-02UTC,09:50:18.548339847
64.12416,-21.925663333333333,35.9M,2020-10-02UTC,09:50:19.067827031
64.12416,-21.925663333333333,36.0M,2020-10-02UTC,09:50:19.571794180
64.12416,-21.925663333333333,36.0M,2020-10-02UTC,09:50:20.074386326
64.12416166666667,-21.925665,36.1M,2020-10-02UTC,09:50:20.578443476
64.12416166666667,-21.925665,36.1M,2020-10-02UTC,09:50:21.081000623
64.12416166666667,-21.925665,36.2M,2020-10-02UTC,09:50:21.585167774
64.12416166666667,-21.925665,36.2M,2020-10-02UTC,09:50:22.087748921
64.12416166666667,-21.925663333333333,36.2M,2020-10-02UTC,09:50:22.591720072
64.12416166666667,-21.925663333333333,36.2M,2020-10-02UTC,09:50:23.094340221
64.12415833333333,-21.925658333333335,36.2M,2020-10-02UTC,09:50:23.598412373
64.12415833333333,-21.925658333333335,36.2M,2020-10-02UTC,09:50:24.112084547
64.12415833333333,-21.925661666666667,36.3M,2020-10-02UTC,09:50:24.616279700
64.12415833333333,-21.925661666666667,36.3M,2020-10-02UTC,09:50:25.118824850
64.12415666666666,-21.925658333333335,36.3M,2020-10-02UTC,09:50:25.622838003
64.12415666666666,-21.925658333333335,36.3M,2020-10-02UTC,09:50:26.126731157
64.124155,-21.925655,36.3M,2020-10-02UTC,09:50:26.630830311
64.124155,-21.925655,36.3M,2020-10-02UTC,09:50:27.133411462
64.12415333333334,-21.925653333333333,36.2M,2020-10-02UTC,09:50:27.637648617
64.12415333333334,-21.925653333333333,36.2M,2020-10-02UTC,09:50:28.141481772
64.124155,-21.925656666666665,36.4M,2020-10-02UTC,09:50:28.645692928
64.124155,-21.925656666666665,36.4M,2020-10-02UTC,09:50:29.155138096
64.124155,-21.925661666666667,36.5M,2020-10-02UTC,09:50:29.659187253
64.124155,-21.925661666666667,36.5M,2020-10-02UTC,09:50:30.162942408
64.124155,-21.925661666666667,36.5M,2020-10-02UTC,09:50:30.667058566
64.124155,-21.925661666666667,36.5M,2020-10-02UTC,09:50:31.170825722
64.124155,-21.925661666666667,36.5M,2020-10-02UTC,09:50:31.695420927
64.124155,-21.925661666666667,36.5M,2020-10-02UTC,09:50:32.197996081
64.12415333333334,-21.92566,36.5M,2020-10-02UTC,09:50:32.701879239
64.12415333333334,-21.925661666666667,36.5M,2020-10-02UTC,09:50:33.514193107
64.12415333333334,-21.925661666666667,36.5M,2020-10-02UTC,09:50:34.016898263
64.12415333333334,-21.925661666666667,36.6M,2020-10-02UTC,09:50:34.534453454
64.12415333333334,-21.925661666666667,36.6M,2020-10-02UTC,09:50:35.036958610
64.12415333333334,-21.925663333333333,36.6M,2020-10-02UTC,09:50:35.540976770
